제목,작가,번역,출간,페이지
엑셀이 편해지는 파이썬,펠릭스 춤슈타인,한선용,20220420,388
올림포스 연대기,김재훈,-,20220420,280
쉽게 배우는 AWS AI 서비스,"피터 엘거 , 오언 셔너히","맹윤호 , 임지순",20220415,396
상식적으로 상식을 배우는 법,제바스티안 클루스만,이지윤,20220414,248
엑셀로 부자되기,김태형,-,20220412,312
데이터 익명화를 위한 파이프라인,"루크 아버클 , 칼리드 엘 에맘",이창현,20220411,164
저는 해외주식투자가 처음인데요,강병욱,-,20220411,252
XGBoost와 사이킷런을 활용한 그레이디언트 부스팅,코리 웨이드,박해선,20220408,380
동시성 프로그래밍,다카노 유키,김모세,20220405,428
엄마가 만드는 초등 수학 자신감,정희경,-,20220401,320
"우리 고양이, 이럴 땐 어떡하지?",니시미야 미요,"김지연 , 이학범(감수)",20220401,224
케라스로 구현하는 딥러닝,김성진(코딩셰프),-,20220401,488
파이썬을 활용한 금융 분석(2판),이브 힐피시,김도형,20220331,796
유연한 소프트웨어를 만드는 설계 원칙,"크리스 핸슨 , 제럴드 제이 서스먼",류광,20220330,504
대통령의 숙제,한지원,-,20220328,256
맛있는 디자인 애프터 이펙트 CC 2022,이수정,-,20220325,528
"STEM@CookBook, Beer의 정역학과 재료역학(3판)","Ferdinand P. Beer , E. Russell Johnston, Jr. , John T. DeWolf , David F. Mazurek","김경식 , 박재균 , 오창국 , 이정휘",20220322,772
3일 만에 끝내는 초등 글쓰기 트레이닝 북,안도 히데아키,"이정미 , 콩나물쌤 전병규(감수)",20220321,172
도메인 주도 개발 시작하기,최범균,-,20220321,356
STEIN 푸리에 해석학,"ELIAS M. STEIN , RAMI SHAKARCHI","한빛수학교재연구소 , 이상혁(감수)",20220318,348
"뛰지 마라, 지친다",이지풍,-,20220316,304
맛있는 디자인 프리미어 프로 CC 2022,"심수진 , 윤성우 , 김덕영",-,20220316,448
헤드 퍼스트 디자인 패턴(개정판),"에릭 프리먼 , 엘리자베스 롭슨",서환수,20220316,656
세금의 세계사,도미닉 프리스비,조용빈,20220315,360
시맨틱 데이터 모형화,파노스 알렉소풀로스,박진수,20220315,364
찐 UXer가 알려주는 UX/UI 실무 가이드,조은정,-,20220315,320
처음 배우는 엘릭서 프로그래밍,데이브 토머스,"권두호 , 최성락(감수자)",20220314,532
고객을 끌어오는 구글 애널리틱스4,문준영,-,20220310,512
머신러닝 실무 프로젝트(2판),"아리가 미치아키(有賀 康顕) , 나카야마 신타(中山 心太) , 니시바야시 다카시(西林 孝)",김모세,20220310,320
쏙쏙 한글 깨치기 1단계 듣기∙읽기,"한빛학습연구회 , 이수진(감수) , 최은서",-,20220310,104
쏙쏙 한글 깨치기 1단계 만들기∙쓰기,"한빛학습연구회 , 이수진(감수) , 전상아(그림)",-,20220310,72
쏙쏙 한글 깨치기 1단계 말놀이 동시,"강정연 , 이수진(감수) , 김유진(그림)",-,20220310,96
쏙쏙 한글 깨치기 1단계 세트(받침 없는 글자),"한빛학습연구회 , 강정연 , 김유진(그림) , 최은서(그림) , 전상아(그림)",-,20220310,272
쏙쏙 한글 깨치기 2단계 듣기∙읽기,"한빛학습연구회 , 김미정(그림)",-,20220310,96
쏙쏙 한글 깨치기 2단계 만들기∙쓰기,"한빛학습연구회 , 전상아(그림)",-,20220310,64
쏙쏙 한글 깨치기 2단계 말놀이 동시,"윤선아 , 이탁근(그림)",-,20220310,96
쏙쏙 한글 깨치기 2단계 세트(받침 있는 글자),"한빛학습연구회 , 윤선아 , 이탁근(그림) , 김미정(그림) , 전상아(그림)",-,20220310,256
자바 마이크로서비스를 활용한 SRE,조너선 슈나이더,정병열,20220310,348
맛있는 디자인 일러스트레이터 CC 2022,빨간고래(박정아),-,20220304,512
미분적분학 : 기초부터 응용까지,수학교재편찬위원회,-,20220304,680
맛있는 디자인 포토샵 CC 2022,"윤이사라(포완카) , 김신애",-,20220303,460
